2025-01-26 18:16:12,371 - INFO - Validation Loss: 1.4642, Validation Accuracy: 46.93%, Precision: 0.44, Recall: 0.47, F1: 0.42
2025-01-26 18:16:33,636 - INFO - Validation Loss: 1.3349, Validation Accuracy: 54.87%, Precision: 0.45, Recall: 0.55, F1: 0.47
2025-01-26 18:16:54,315 - INFO - Validation Loss: 1.3670, Validation Accuracy: 56.41%, Precision: 0.46, Recall: 0.56, F1: 0.50
2025-01-26 18:17:14,928 - INFO - Validation Loss: 1.2685, Validation Accuracy: 57.40%, Precision: 0.47, Recall: 0.57, F1: 0.50
2025-01-26 18:17:35,503 - INFO - Validation Loss: 1.3049, Validation Accuracy: 56.59%, Precision: 0.47, Recall: 0.57, F1: 0.50
2025-01-26 18:17:56,050 - INFO - Validation Loss: 1.2793, Validation Accuracy: 56.86%, Precision: 0.47, Recall: 0.57, F1: 0.51
2025-01-26 18:18:16,192 - INFO - Validation Loss: 1.3028, Validation Accuracy: 55.05%, Precision: 0.46, Recall: 0.55, F1: 0.48
2025-01-26 18:18:36,436 - INFO - Validation Loss: 1.2754, Validation Accuracy: 56.86%, Precision: 0.47, Recall: 0.57, F1: 0.51
2025-01-26 18:18:56,473 - INFO - Validation Loss: 1.2921, Validation Accuracy: 57.49%, Precision: 0.52, Recall: 0.57, F1: 0.52
2025-01-26 18:19:16,538 - INFO - Validation Loss: 1.2993, Validation Accuracy: 57.40%, Precision: 0.47, Recall: 0.57, F1: 0.51
2025-01-26 18:19:37,073 - INFO - Validation Loss: 1.3082, Validation Accuracy: 58.03%, Precision: 0.54, Recall: 0.58, F1: 0.52
2025-01-26 18:19:57,176 - INFO - Validation Loss: 1.3768, Validation Accuracy: 56.77%, Precision: 0.50, Recall: 0.57, F1: 0.51
2025-01-26 18:20:17,289 - INFO - Validation Loss: 1.3100, Validation Accuracy: 55.42%, Precision: 0.47, Recall: 0.55, F1: 0.50
2025-01-26 18:20:37,505 - INFO - Validation Loss: 1.3216, Validation Accuracy: 57.22%, Precision: 0.50, Recall: 0.57, F1: 0.51
2025-01-26 18:20:57,767 - INFO - Validation Loss: 1.3023, Validation Accuracy: 57.13%, Precision: 0.53, Recall: 0.57, F1: 0.53
2025-01-26 18:21:18,100 - INFO - Validation Loss: 1.2789, Validation Accuracy: 58.48%, Precision: 0.56, Recall: 0.58, F1: 0.53
2025-01-26 18:21:37,547 - INFO - Validation Loss: 1.3198, Validation Accuracy: 57.04%, Precision: 0.50, Recall: 0.57, F1: 0.51
2025-01-26 18:21:57,239 - INFO - Validation Loss: 1.3159, Validation Accuracy: 57.22%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-26 18:22:17,514 - INFO - Validation Loss: 1.2881, Validation Accuracy: 58.48%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-26 18:22:37,307 - INFO - Validation Loss: 1.2830, Validation Accuracy: 59.21%, Precision: 0.53, Recall: 0.59, F1: 0.54
2025-01-26 18:22:57,549 - INFO - Validation Loss: 1.3749, Validation Accuracy: 57.76%, Precision: 0.54, Recall: 0.58, F1: 0.53
2025-01-26 18:23:17,687 - INFO - Validation Loss: 1.2888, Validation Accuracy: 56.77%, Precision: 0.50, Recall: 0.57, F1: 0.52
2025-01-26 18:23:37,123 - INFO - Validation Loss: 1.2802, Validation Accuracy: 58.75%, Precision: 0.54, Recall: 0.59, F1: 0.55
2025-01-26 18:23:56,008 - INFO - Validation Loss: 1.3126, Validation Accuracy: 56.50%, Precision: 0.51, Recall: 0.56, F1: 0.53
2025-01-26 18:24:16,254 - INFO - Validation Loss: 1.3190, Validation Accuracy: 58.12%, Precision: 0.52, Recall: 0.58, F1: 0.54
2025-01-26 18:24:36,123 - INFO - Validation Loss: 1.2996, Validation Accuracy: 56.32%, Precision: 0.50, Recall: 0.56, F1: 0.52
2025-01-26 18:24:56,164 - INFO - Validation Loss: 1.4580, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.50
2025-01-26 18:25:16,936 - INFO - Validation Loss: 1.3650, Validation Accuracy: 58.03%, Precision: 0.51, Recall: 0.58, F1: 0.52
2025-01-26 18:25:37,692 - INFO - Validation Loss: 1.3202, Validation Accuracy: 57.76%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-26 18:25:57,948 - INFO - Validation Loss: 1.3869, Validation Accuracy: 55.69%, Precision: 0.51, Recall: 0.56, F1: 0.52
2025-01-26 18:26:18,811 - INFO - Validation Loss: 1.3696, Validation Accuracy: 57.04%, Precision: 0.53, Recall: 0.57, F1: 0.52
2025-01-26 18:26:39,608 - INFO - Validation Loss: 1.3505, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.52
2025-01-26 18:27:00,010 - INFO - Validation Loss: 1.4065, Validation Accuracy: 57.67%, Precision: 0.52, Recall: 0.58, F1: 0.53
2025-01-26 18:27:20,956 - INFO - Validation Loss: 1.3684, Validation Accuracy: 58.75%, Precision: 0.53, Recall: 0.59, F1: 0.54
2025-01-26 18:27:42,005 - INFO - Validation Loss: 1.4089, Validation Accuracy: 57.31%, Precision: 0.52, Recall: 0.57, F1: 0.53
2025-01-26 18:28:02,928 - INFO - Validation Loss: 1.3843, Validation Accuracy: 58.75%, Precision: 0.54, Recall: 0.59, F1: 0.55
2025-01-26 18:28:24,120 - INFO - Validation Loss: 1.3872, Validation Accuracy: 55.51%, Precision: 0.52, Recall: 0.56, F1: 0.52
