2025-01-13 18:52:34,903 - INFO - Validation Loss: 1.5473, Validation Accuracy: 56.50%, Precision: 0.50, Recall: 0.56, F1: 0.52
2025-01-13 18:52:53,942 - INFO - Validation Loss: 1.4268, Validation Accuracy: 57.49%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-13 18:53:12,658 - INFO - Validation Loss: 1.4841, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:53:31,550 - INFO - Validation Loss: 1.5720, Validation Accuracy: 56.77%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-13 18:53:50,361 - INFO - Validation Loss: 1.5824, Validation Accuracy: 56.41%, Precision: 0.52, Recall: 0.56, F1: 0.53
2025-01-13 18:54:09,214 - INFO - Validation Loss: 1.4954, Validation Accuracy: 47.83%, Precision: 0.43, Recall: 0.48, F1: 0.41
2025-01-13 18:54:28,011 - INFO - Validation Loss: 1.3952, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:54:46,287 - INFO - Validation Loss: 1.3645, Validation Accuracy: 56.50%, Precision: 0.52, Recall: 0.56, F1: 0.54
2025-01-13 18:55:04,275 - INFO - Validation Loss: 1.3965, Validation Accuracy: 56.23%, Precision: 0.52, Recall: 0.56, F1: 0.54
2025-01-13 18:55:22,357 - INFO - Validation Loss: 1.4344, Validation Accuracy: 55.51%, Precision: 0.51, Recall: 0.56, F1: 0.53
2025-01-13 18:55:40,420 - INFO - Validation Loss: 1.5165, Validation Accuracy: 55.05%, Precision: 0.49, Recall: 0.55, F1: 0.51
2025-01-13 18:55:59,005 - INFO - Validation Loss: 1.5437, Validation Accuracy: 56.77%, Precision: 0.52, Recall: 0.57, F1: 0.53
2025-01-13 18:56:17,374 - INFO - Validation Loss: 1.6264, Validation Accuracy: 56.41%, Precision: 0.54, Recall: 0.56, F1: 0.53
2025-01-13 18:56:35,504 - INFO - Validation Loss: 1.6975, Validation Accuracy: 56.32%, Precision: 0.52, Recall: 0.56, F1: 0.54
2025-01-13 18:56:53,651 - INFO - Validation Loss: 1.7968, Validation Accuracy: 57.04%, Precision: 0.55, Recall: 0.57, F1: 0.53
2025-01-13 18:57:11,620 - INFO - Validation Loss: 1.5775, Validation Accuracy: 57.04%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:57:29,652 - INFO - Validation Loss: 1.5103, Validation Accuracy: 55.14%, Precision: 0.50, Recall: 0.55, F1: 0.51
2025-01-13 18:57:47,785 - INFO - Validation Loss: 1.5654, Validation Accuracy: 54.69%, Precision: 0.50, Recall: 0.55, F1: 0.52
2025-01-13 18:58:06,572 - INFO - Validation Loss: 1.5882, Validation Accuracy: 56.14%, Precision: 0.51, Recall: 0.56, F1: 0.53
2025-01-13 18:58:24,751 - INFO - Validation Loss: 1.8172, Validation Accuracy: 54.69%, Precision: 0.51, Recall: 0.55, F1: 0.51
2025-01-13 18:58:43,166 - INFO - Validation Loss: 1.7666, Validation Accuracy: 54.24%, Precision: 0.50, Recall: 0.54, F1: 0.51
2025-01-13 18:59:01,272 - INFO - Validation Loss: 1.9485, Validation Accuracy: 54.15%, Precision: 0.50, Recall: 0.54, F1: 0.51
2025-01-13 18:59:19,269 - INFO - Validation Loss: 1.9477, Validation Accuracy: 55.23%, Precision: 0.49, Recall: 0.55, F1: 0.51
2025-01-13 18:59:37,183 - INFO - Validation Loss: 2.0710, Validation Accuracy: 55.32%, Precision: 0.52, Recall: 0.55, F1: 0.54
2025-01-13 18:59:55,019 - INFO - Validation Loss: 1.6822, Validation Accuracy: 55.32%, Precision: 0.51, Recall: 0.55, F1: 0.52
2025-01-13 19:00:13,002 - INFO - Validation Loss: 1.7074, Validation Accuracy: 55.42%, Precision: 0.50, Recall: 0.55, F1: 0.51
2025-01-13 19:00:31,131 - INFO - Validation Loss: 2.3150, Validation Accuracy: 53.88%, Precision: 0.50, Recall: 0.54, F1: 0.52
2025-01-13 19:00:49,110 - INFO - Validation Loss: 2.1291, Validation Accuracy: 52.44%, Precision: 0.49, Recall: 0.52, F1: 0.50
2025-01-13 19:01:07,276 - INFO - Validation Loss: 2.3592, Validation Accuracy: 53.52%, Precision: 0.50, Recall: 0.54, F1: 0.51
2025-01-13 19:01:25,209 - INFO - Validation Loss: 1.7926, Validation Accuracy: 54.87%, Precision: 0.52, Recall: 0.55, F1: 0.52
2025-01-13 19:01:43,042 - INFO - Validation Loss: 2.3786, Validation Accuracy: 53.88%, Precision: 0.51, Recall: 0.54, F1: 0.52
2025-01-13 19:02:01,079 - INFO - Validation Loss: 2.5393, Validation Accuracy: 50.18%, Precision: 0.48, Recall: 0.50, F1: 0.49
2025-01-13 19:02:19,764 - INFO - Validation Loss: 2.1802, Validation Accuracy: 51.99%, Precision: 0.49, Recall: 0.52, F1: 0.49
2025-01-13 19:02:38,078 - INFO - Validation Loss: 2.1538, Validation Accuracy: 54.15%, Precision: 0.50, Recall: 0.54, F1: 0.52
2025-01-13 19:02:56,433 - INFO - Validation Loss: 1.7354, Validation Accuracy: 55.42%, Precision: 0.51, Recall: 0.55, F1: 0.52
2025-01-13 19:03:14,691 - INFO - Validation Loss: 1.9722, Validation Accuracy: 53.79%, Precision: 0.50, Recall: 0.54, F1: 0.50
2025-01-13 19:03:33,102 - INFO - Validation Loss: 1.9386, Validation Accuracy: 53.61%, Precision: 0.50, Recall: 0.54, F1: 0.51
2025-01-13 19:03:51,462 - INFO - Validation Loss: 2.5062, Validation Accuracy: 52.17%, Precision: 0.48, Recall: 0.52, F1: 0.50
2025-01-13 19:04:09,681 - INFO - Validation Loss: 2.5667, Validation Accuracy: 52.62%, Precision: 0.50, Recall: 0.53, F1: 0.51
2025-01-13 19:04:27,886 - INFO - Validation Loss: 2.7112, Validation Accuracy: 52.80%, Precision: 0.51, Recall: 0.53, F1: 0.51
2025-01-13 19:04:46,202 - INFO - Validation Loss: 2.7859, Validation Accuracy: 50.63%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:05:04,412 - INFO - Validation Loss: 2.8160, Validation Accuracy: 51.08%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:05:23,254 - INFO - Validation Loss: 2.5675, Validation Accuracy: 52.98%, Precision: 0.49, Recall: 0.53, F1: 0.50
2025-01-13 19:05:41,601 - INFO - Validation Loss: 2.7107, Validation Accuracy: 50.63%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:06:00,304 - INFO - Validation Loss: 3.0235, Validation Accuracy: 50.36%, Precision: 0.48, Recall: 0.50, F1: 0.49
2025-01-13 19:06:19,074 - INFO - Validation Loss: 3.0393, Validation Accuracy: 52.17%, Precision: 0.49, Recall: 0.52, F1: 0.50
2025-01-13 19:06:37,829 - INFO - Validation Loss: 3.3234, Validation Accuracy: 48.83%, Precision: 0.47, Recall: 0.49, F1: 0.47
2025-01-13 19:06:56,589 - INFO - Validation Loss: 2.9711, Validation Accuracy: 49.91%, Precision: 0.48, Recall: 0.50, F1: 0.49
2025-01-13 19:07:15,454 - INFO - Validation Loss: 2.7717, Validation Accuracy: 51.81%, Precision: 0.49, Recall: 0.52, F1: 0.49
2025-01-13 19:07:34,035 - INFO - Validation Loss: 2.9677, Validation Accuracy: 52.53%, Precision: 0.49, Recall: 0.53, F1: 0.50
2025-01-13 19:07:52,701 - INFO - Validation Loss: 3.2852, Validation Accuracy: 52.62%, Precision: 0.50, Recall: 0.53, F1: 0.51
2025-01-13 19:08:11,216 - INFO - Validation Loss: 3.0658, Validation Accuracy: 51.44%, Precision: 0.49, Recall: 0.51, F1: 0.50
2025-01-13 19:08:30,103 - INFO - Validation Loss: 3.3582, Validation Accuracy: 50.09%, Precision: 0.47, Recall: 0.50, F1: 0.48
2025-01-13 19:08:48,708 - INFO - Validation Loss: 2.8480, Validation Accuracy: 50.27%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:09:07,479 - INFO - Validation Loss: 3.0713, Validation Accuracy: 49.64%, Precision: 0.47, Recall: 0.50, F1: 0.48
2025-01-13 19:09:26,282 - INFO - Validation Loss: 3.4514, Validation Accuracy: 50.63%, Precision: 0.47, Recall: 0.51, F1: 0.48
2025-01-13 19:09:45,009 - INFO - Validation Loss: 3.0109, Validation Accuracy: 51.17%, Precision: 0.50, Recall: 0.51, F1: 0.50
2025-01-13 19:10:03,608 - INFO - Validation Loss: 3.6010, Validation Accuracy: 51.08%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:10:23,715 - INFO - Validation Loss: 3.2732, Validation Accuracy: 51.71%, Precision: 0.48, Recall: 0.52, F1: 0.49
2025-01-13 19:10:43,700 - INFO - Validation Loss: 3.1462, Validation Accuracy: 50.99%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:11:03,464 - INFO - Validation Loss: 3.5293, Validation Accuracy: 53.79%, Precision: 0.50, Recall: 0.54, F1: 0.51
2025-01-13 19:11:23,456 - INFO - Validation Loss: 3.3434, Validation Accuracy: 51.08%, Precision: 0.48, Recall: 0.51, F1: 0.49
